,adversarial_val,day_2_donor_31800_val,day_2_donor_32606_val,day_2_val,day_4_donor_31800_val,day_4_donor_32606_val,day_4_val,donor_31800_val,donor_32606_val,random_fifth_val,random_tenth_val,random_third_val,private_test_score,public_test_score
rank_1_activation_relu,0.9050674397987511,0.8913462148630582,0.8975066904413802,0.8971597553486977,0.8928541615649729,0.8927429382861108,0.8923224410792501,0.8928118720009817,0.8986974164158844,0.9068867392051324,0.9064786487029548,0.9067487289090796,0.7727,0.813723
rank_1_baseline_seed_0,0.905231707348377,0.8914054231834478,0.8976296580091556,0.8965289416770007,0.8924300200069277,0.8926932420375232,0.8921613435760395,0.8924512748811856,0.8989768584758182,0.9069781141532982,0.906559484230106,0.9068604888730716,0.772875,0.813748
rank_1_baseline_seed_1,0.9051292527560104,0.8910321246259127,0.8975632683165181,0.8968080437927008,0.8930456007981297,0.8926607090591759,0.8924350417891619,0.8923166971772989,0.8987061305204732,0.9069913083974164,0.9065688933193794,0.9068624826703828,0.772822,0.813691
rank_1_baseline_seed_1998,0.9051675887071496,0.8912077326148636,0.8972167676661461,0.8969889347665905,0.8925868735981048,0.8928298233077642,0.8921513950206532,0.8924382210849618,0.8985972051955878,0.9069995992285492,0.9065632958379226,0.9068613406409404,0.773019,0.813802
rank_1_baseline_seed_2,0.9052036282331696,0.8909574805792454,0.8971263512866463,0.8963843567271322,0.8927399985824086,0.8928086131308225,0.8926110725068175,0.8924126195344855,0.8989225640523969,0.9069767119797508,0.9065562052581136,0.9068347555886032,0.772909,0.813711
rank_1_baseline_seed_3,0.9051371375245176,0.8915127974578697,0.8976782491159142,0.8965937396663973,0.8920835401672909,0.8923253009797156,0.892465887703603,0.8922747034829722,0.8991852756454889,0.9069439546340324,0.906560439486292,0.906872814127904,0.772989,0.813738
rank_1_baseline_seed_42,0.9051761192125626,0.8915328710674161,0.897206995550887,0.8968484323684603,0.8931876230601148,0.8926059845280596,0.8926596964418848,0.892483370714626,0.8987649731412374,0.9069778412977496,0.9065526557638752,0.9068596375847524,0.772895,0.813761
rank_1_baseline_seed_666,0.905210615557516,0.8909073235122983,0.8975023354511714,0.8970701867760513,0.8925075187738828,0.892956215135971,0.8921910412670397,0.8925992843800908,0.8988606206715838,0.9069419195684648,0.9065412640864324,0.9068449683532008,0.77314,0.813792
rank_1_baseline_seed_73,0.9051271167788556,0.8917329069686514,0.897533814214439,0.8969923282329559,0.8926049295764571,0.8926619612715806,0.8916557866820982,0.8918357967926722,0.8989652932321199,0.9069763938223844,0.906526780319764,0.9068463832438302,0.772795,0.8137
rank_1_decoder_depth_1,0.9046128541791586,0.8902137896931385,0.8972997781018643,0.8956067492785746,0.8912349194478373,0.8920682092915349,0.8905189327856327,0.8918521348545777,0.8986595904836235,0.9066802625513792,0.9062394434783886,0.9066062090858992,0.772219,0.813106
rank_1_decoder_depth_3,0.9052170839877334,0.8911738434295229,0.8972918827278492,0.8968090321843616,0.8921296759505762,0.8928430927115482,0.8921459223615503,0.8922717285562863,0.8988062155192436,0.907009582519737,0.9065775610289832,0.9069237119878644,0.772877,0.813606
rank_1_decoder_depth_3_width_1024_activation_relu,0.9039080594995303,0.8908896460030942,0.8972744264566659,0.8970312689583702,0.8915712785490278,0.8925562542163147,0.8920832752412878,0.8922402068445694,0.8986794156058031,0.9064262925046492,0.9059642351825502,0.9063527095523172,0.771402,0.813368
rank_1_width_1024,0.9039596623438012,0.8913726056115426,0.8971461311852027,0.8969245140857083,0.8920160098009605,0.8921333622419737,0.8918933670011983,0.8925925637856021,0.8985564940093416,0.90649504095312,0.9059668594804192,0.9063831362087252,0.771576,0.813399
rank_3_CiteModelMish,0.900847852230072,0.8894588351249695,0.8946511149406433,0.8947331309318542,0.8924058675765991,0.8905194997787476,0.8905875086784363,0.8925800919532776,0.8973786234855652,0.904258906841278,0.90371435880661,0.9040021300315856,0.77248,0.812449
rank_3_FiveLayersPerceptron,0.8994567394256592,0.888583242893219,0.893467128276825,0.894391655921936,0.8914269804954529,0.8898199200630188,0.8892113566398621,0.8908348679542542,0.8956506848335266,0.9032959342002868,0.90316241979599,0.9029356241226196,0.768065,0.808265
rank_3_FiveLayersPerceptronV2,0.8997257947921753,0.8884562253952026,0.8928608298301697,0.8941998481750488,0.8909031748771667,0.8897243142127991,0.8894539475440979,0.8908804655075073,0.8955307006835938,0.9035545587539672,0.9028560519218444,0.903181493282318,0.76818,0.808836
rank_3_MakotuCiteModel,0.9004878997802734,0.8891264200210571,0.8946496844291687,0.8952643275260925,0.8923786282539368,0.8903137445449829,0.8906393051147461,0.8917208909988403,0.8967710137367249,0.9041041731834412,0.9035143852233888,0.9036749601364136,0.77181,0.812729
rank_3_OneLayerPerceptron,0.8997483849525452,0.8884154558181763,0.8943427205085754,0.8945424556732178,0.8922138214111328,0.8900384902954102,0.8898963928222656,0.8912522196769714,0.8962817192077637,0.9037009477615356,0.9031963348388672,0.9034522771835328,0.771571,0.812717
rank_3_OneLayerPerceptronV2,0.9004077315330505,0.8886139988899231,0.8943018913269043,0.8944181203842163,0.8919556736946106,0.889739990234375,0.8898031115531921,0.8921265006065369,0.8973886966705322,0.9038928151130676,0.9034928679466248,0.9036909341812134,0.770434,0.811413
rank_3_ThreeLayersPerceptron,0.9006105065345764,0.8891655802726746,0.8942199945449829,0.8951551914215088,0.8920902609825134,0.8901912569999695,0.8899869322776794,0.89240962266922,0.8968656063079834,0.9040719866752625,0.9038932919502258,0.9037424325942992,0.770092,0.810438
rank_3_ThreeLayersPerceptronV2,0.9012520909309388,0.8893252611160278,0.8938969373703003,0.8954744338989258,0.8925256729125977,0.8906577825546265,0.890862762928009,0.8924891352653503,0.8969012498855591,0.904069721698761,0.9037722945213318,0.9038310050964355,0.769372,0.809202
rank_2_cos_loss,0.9055011985625394,0.8970817875034072,0.9017187410348563,0.901292473713715,0.8994911314432481,0.8983382710954451,0.8975518261607571,0.8981380366292508,0.9031119563879189,0.9071958405547101,0.9066804105402194,0.9071231882028917,0.773941,0.815641
rank_2_mse_loss,0.9053524018510465,0.8962761421280236,0.9011319118989839,0.9010444169951489,0.898983217188867,0.8976630603741216,0.8966480938925225,0.897400259105204,0.9026994178791592,0.9071875440444526,0.9065501183838361,0.9070667007726063,0.773997,0.815776
