,model,score
0,no_preprocessed_expression_data,0.8458133200584956
1,no_day_corrected_data,0.8461558415798591
2,no_raw_data_with_selected_features,0.8461864993316262
3,no_raw_data_pca,0.8462350225476779
4,no_lgbm_1,0.8463080700908295
5,no_lgbm_2,0.8461576320938179
6,no_lgbm_3,0.8461925504117794
7,no_lgbm_4,0.8452115180032833
8,no_lgbm,0.8446593974449734
9,no_lgbm_and_raw,0.8435573709325596
10,relu_activation,0.845206922720766
11,fc_width_1000,0.8460266011114207
12,fc_width_500,0.8458031518787347
13,one_fc_block,0.8464900007110939
14,two_fc_blocks,0.8465522433757997
15,normal_dropout,0.8462426463758522
16,no_dropout,0.8465726462509094
17,lstm_recurrent,0.8460409589432216
18,linear_recurrent,0.8466540750842996
19,no_recurrent,0.8464264805295507
20,default_model,0.847722
21,mse_blend,0.846330
22,cos_blend,0.846624
